id,exercise,body part,muscle,overallMin,overallMax,sets,reps,barbell,dumbbell,pullup bar,resistance band,bench,medicine ball,bodyweight,video link
1,squat,legs,quadricep,-99999,10,3,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,10,20,3,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,20,30,4,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,30,40,4,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,40,50,5,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,50,60,4,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,60,70,4,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,70,80,5,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
1,squat,legs,quadricep,80,99999,5,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/aclHkVaku9U
2,lunge,legs,quadricep,-99999,10,3,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/QOVaHwm-Q6U
2,lunge,legs,quadricep,10,20,3,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/QOVaHwm-Q6U
2,lunge,legs,quadricep,20,30,4,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/embed/QOVaHwm-Q6U
